tfidf_decile,mean,median,std
1,3.030452988199467,3.0,0.8771414175315481
2,2.946967774676478,3.0,0.8519242741518015
3,2.9138215509582435,3.0,0.8501963419651491
4,2.8719705621114073,3.0,0.8458481984184985
5,2.806877299835046,3.0,0.8148422701180795
6,2.764467005076142,3.0,0.810739154772369
7,2.7043522395635073,3.0,0.8071020980791267
8,2.629187817258883,3.0,0.7998355271047246
9,2.5113564268493844,2.0,0.7937920299274033
10,2.391574673264814,2.0,0.8326766026843588
