word,freq,doc_freq,tfidf_top_k_mean,token_count,expected_cost,positive_residual,RIF
rfc,140,41,0.3154412611011231,3,2.0384446474201003,0.9615553525798997,0.3033142330363386
fc,505,149,0.3062513781213586,2,1.844354232581384,0.15564576741861602,0.04766673077070761
dc,670,190,0.23907480664705485,2,1.8241726868578632,0.17582731314213684,0.042035880892727535
km,1343,524,0.2212325645419126,2,1.766324977270363,0.23367502272963692,0.051696524547867294
tv,2290,854,0.20959978568200704,2,1.7293147848363501,0.27068521516364985,0.05673556308558897
sr,580,151,0.20154501386666782,2,1.8368269979165917,0.16317300208340835,0.03288670496756635
lü,10,3,0.19591515109376068,2,2.679852486393338,0.0,0.0
vx,29,8,0.18516278123591032,2,2.0691697458598157,0.0,0.0
bc,3214,502,0.18183184271368896,2,1.7240157322559657,0.2759842677440343,0.05018272796388586
crc,45,24,0.17858906136770658,3,2.117877398974663,0.8821226010253369,0.15753744732835484
bmw,277,28,0.17773969917829086,3,2.0086866756815622,0.9913133243184378,0.17619573205579062
mhp,10,7,0.16815207152292208,3,2.2369967266463524,0.7630032733536476,0.12830058099318623
cm,543,166,0.16534651075429765,2,1.8381244194530535,0.1618755805469465,0.026765562419763866
mdc,175,5,0.15345996691686864,3,2.074945804385685,0.9250541956143148,0.14195878625528327
đàn,27,5,0.152419562350968,3,2.7243931517997755,0.2756068482002245,0.0420078751836079
ws,24,7,0.14295829753066383,2,2.0829427175683133,0.0,0.0
cd,719,326,0.1418703509858576,2,1.8084683493613316,0.1915316506386684,0.02717266250100854
pkp,11,3,0.13907439680504782,3,2.2506701795976305,0.7493298204023695,0.10421259278049436
pf,166,8,0.1356265102697683,2,1.9706878003297275,0.029312199670272543,0.003975511349609718
bt,388,40,0.12798747169327368,2,1.8882045495380366,0.11179545046196337,0.014308417051437317
sn,39,20,0.12483845432394661,2,2.0309542714887403,0.0,0.0
lgbt,369,113,0.12406504266427136,4,2.055415471414317,1.944584528585683,0.24125496250326478
mr,823,365,0.12402836651855495,2,1.7990443902143811,0.20095560978561888,0.024924196024450448
bcg,122,3,0.12235793972676234,3,2.106700056016277,0.893299943983723,0.10930234070388056
nrl,134,19,0.12162852450250543,3,2.059762120154132,0.9402378798458679,0.1143597460070169
bk,39,25,0.1177646836083341,2,2.025601307274571,0.0,0.0
tcp,63,17,0.11654489537194339,3,2.1066381273903225,0.8933618726096775,0.10411676597257828
mhz,332,83,0.1146407555219188,3,1.9723217266338828,1.0276782733661172,0.11781381369215267
cpu,413,70,0.10988702344678869,3,1.9642387161933508,1.0357612838066492,0.11381672447893722
btu,38,3,0.10770505075271546,3,2.1765670163154907,0.8234329836845093,0.0886878912992
mgm,101,42,0.10661347914196662,3,2.056680639959206,0.9433193600407939,0.10057055891592247
zx,44,21,0.1026395271426778,2,2.0230076477416765,0.0,0.0
vdc,11,3,0.10102066107473749,3,2.2506701795976305,0.7493298204023695,0.07569779382006168
bnp,327,7,0.09967605447175397,3,2.031343573368532,0.9686564266314681,0.09655185074533276
wmc,29,4,0.09965167298778121,3,2.186809844056973,0.813190155943027,0.08103575949691734
hq,72,37,0.0968795506396615,2,1.981966592956813,0.0180334070431869,0.0017470683708460536
cdp,44,24,0.09659993427541935,3,2.119200004361354,0.8807999956386459,0.08508522168848284
wbc,11,9,0.0941279323213238,3,2.225330137124446,0.774669862875554,0.07291807242411932
ncp,24,4,0.09399399218125955,3,2.1981641840076582,0.8018358159923418,0.07536774941903804
fu,116,55,0.09049608192368153,2,1.9462395329447528,0.053760467055247174,0.00486511163088703
gbc,8,3,0.08898515633093407,3,2.269136828445729,0.730863171554271,0.0650359735772791
sdlp,12,4,0.08865743442551913,4,2.349564548510739,1.650435451489261,0.1463233728139612
bhd,19,3,0.08837386044844071,3,2.218249254894428,0.7817507451055721,0.06908633125342438
jr,883,481,0.08732547032980525,2,1.7893583897792396,0.21064161022076044,0.01839437768355542
bjp,26,15,0.08714542833654612,3,2.162063888758888,0.8379361112411119,0.07302230133276645
gm,138,38,0.08592322735924192,2,1.945415657227126,0.05458434277287405,0.004690062894328451
aa,382,74,0.08531120419829592,2,1.8749936045955913,0.12500639540440872,0.010664446124438433
nz,34,18,0.08488161802416608,2,2.0411949830296714,0.0,0.0
gmc,29,11,0.08471634097261545,3,2.1632797758075504,0.8367202241924496,0.0708838758113708
vf,30,11,0.08440049774833494,2,2.0599075956646438,0.0,0.0
btv,62,6,0.08422710143975637,3,2.132322065978396,0.8676779340216041,0.07308199736587588
gáo,9,3,0.08413424690675736,3,2.819337624096346,0.18066237590365386,0.015199892941039425
