word,freq,doc_freq,tfidf_top_k_mean,token_count,expected_cost,positive_residual,RIF
pru,3,3,0.04418598418583546,2,2.322010975387597,0.0,0.0
réponse,3,3,0.04417131897252056,3,3.506648402820526,0.0,0.0
radiohead,3,3,0.04383236924054132,3,3.0976119846972634,0.0,0.0
aiden,3,3,0.04373264905979282,2,2.55614322307754,0.0,0.0
crevices,3,3,0.04362249230499357,3,2.952341273448291,0.04765872655170922,0.002078992432267728
asus,3,3,0.043445954499419175,1,2.4362661222963053,0.0,0.0
leitner,3,3,0.04342908518815732,3,2.8138834166339723,0.18611658336602765,0.008082872953931999
rueda,3,3,0.043422725939574365,2,2.55614322307754,0.0,0.0
evciler,3,3,0.04330965587268263,3,2.8138834166339723,0.18611658336602765,0.008060645177782107
jans,3,3,0.043242694379583925,1,2.4362661222963053,0.0,0.0
muratlı,3,3,0.04323035801037064,4,3.506648402820526,0.49335159717947397,0.02132776617105682
oueddei,3,3,0.04306384127241614,4,2.8138834166339723,1.1861165833660277,0.05107873627665516
shellharbour,3,3,0.04282658844198181,4,3.5777368141911774,0.4222631858088226,0.01808409167283454
stargard,3,3,0.042500969070513844,2,2.952341273448291,0.0,0.0
rhapsodies,3,3,0.04244139218462276,3,3.2500307786345672,0.0,0.0
sakaguchi,3,3,0.042440339709600844,4,3.0976119846972634,0.9023880153027366,0.03829765391932063
masa,3,3,0.04197969774401066,2,2.4362661222963053,0.0,0.0
petry,3,3,0.041975491518958824,2,2.55614322307754,0.0,0.0
usm,3,3,0.04196125421600175,2,2.322010975387597,0.0,0.0
bks,3,3,0.04194810683867567,2,2.322010975387597,0.0,0.0
cengiz,3,3,0.04141963018395349,3,2.681918907416703,0.31808109258329686,0.013174801223308028
