word,freq,doc_freq,tfidf_top_k_mean,token_count,expected_cost,positive_residual,RIF
gbarpolu,13,6,0.6844271155055487,4,2.8294973672868955,1.1705026327131045,0.8011237405994808
polsbroek,43,3,0.6835037898925346,4,2.8936548775930064,1.1063451224069936,0.7561910840943001
wheatland,12,3,0.7054712444952848,4,2.99562331982422,1.0043766801757799,0.70855886650565
kwadjokrom,6,3,0.25048291031168984,6,3.198777916209434,2.801222083790566,0.7016582599772373
bangladeshi,234,86,0.30685938690231207,5,2.923969758365319,2.076030241634681,0.637049367138677
bangladesh,812,149,0.2644694586232872,5,2.6722578891314583,2.3277421108685417,0.615616695876031
anastasius,43,11,0.5488027816082839,4,2.9951000042435565,1.0048999957564435,0.5514919129092889
coenagrionidae,5,3,0.2531595916372429,6,3.893386457203015,2.106613542796985,0.5333094242319703
leštinka,5,3,0.3882891498604312,5,3.6370635482008966,1.3629364517991034,0.5292134361828664
tlaxcala,12,4,0.2312744608775137,5,2.84727367331322,2.15272632668678,0.4978706206213155
cairncross,8,3,0.5706992299202829,4,3.1760248386211125,0.8239751613788875,0.4702419900723719
silvestri,48,3,0.41596488821725813,4,2.8848219052140394,1.1151780947859606,0.463874931539977
kızılırmak,11,7,0.1489292467482989,7,3.892255227793334,3.107744772206666,0.4628340880107025
aberdeen,610,65,0.2964188215825344,4,2.4722189328365243,1.5277810671634757,0.45286306356470435
lofa,16,8,0.6310597067783635,3,2.314854244449241,0.6851457555507592,0.4323678795983024
liberia,186,96,0.7483977063903857,3,2.425300827047661,0.574699172952339,0.4301035429019821
krasnoyarsk,13,9,0.15482053219965453,6,3.2536926045145003,2.7463073954854997,0.42518477255291215
afyonkarahisar,46,18,0.303133795259194,5,3.6022459297740768,1.3977540702259232,0.4237064961465701
gütersloh,28,13,0.3006899445098547,5,3.5929609442237096,1.4070390557762904,0.4230824956045711
andriessen,24,3,0.4542933001298299,4,3.085182543194197,0.9148174568058032,0.41559544146868643
zitadelle,7,3,0.4133392985730453,4,3.037221016130506,0.962778983869494,0.39795438987348597
havlíčkův,3,3,0.07692107019926248,9,3.8602296223380916,5.139770377661908,0.39535663802822146
macquarie,92,33,0.31022728439872915,4,2.758858458725048,1.2411415412749518,0.3850359699041815
alexander,2707,630,0.6606347226143147,3,2.4180472561344004,0.5819527438655996,0.3844581895182897
amalthea,15,4,0.3077160740997446,4,2.8305301583778095,1.1694698416221905,0.3598646684420306
inhabitants,849,431,0.2855976723976542,4,2.7638408204545333,1.2361591795454667,0.35304418439117924
rajshahi,22,8,0.28892142072898475,4,2.7812278201963894,1.2187721798036106,0.35212938973382085
douglas,666,324,0.19847560685705284,4,2.3045670416454356,1.6954329583545644,0.3365020852948706
brunei,400,41,0.19496267330101844,4,2.28552910977147,1.71447089022853,0.3342578280557311
beauchamp,24,12,0.3007864794552824,4,2.897977332853592,1.1020226671464082,0.3314735183308886
łódź,22,9,0.15254211589677832,5,2.8563763180466144,2.1436236819533856,0.32699289213161203
nebraska,612,113,0.5945094040689204,3,2.455350568597595,0.5446494314024051,0.3237992088895202
village,2202,914,0.40378298974094395,3,2.1993560517333437,0.8006439482666563,0.3232864071491041
eriksson,17,8,0.2640265098727747,4,2.800659943876483,1.1993400561235168,0.31665756916890986
euskirchen,22,8,0.33665688350160894,4,3.0616636698898585,0.9383363301101415,0.3158973845712172
swedish,1017,333,0.42720611035952893,3,2.2762871925477794,0.7237128074522206,0.30917453348903784
rfc,140,41,0.3154412611011231,3,2.0384446474201003,0.9615553525798997,0.3033142330363386
quebec,495,181,0.39086576391742645,3,2.2309747106819278,0.7690252893180722,0.3005856571811282
mexico,1490,516,0.34616010617327947,3,2.1345897435015964,0.8654102564984036,0.2995705062729324
miyazawa,15,4,0.25290524969783,4,2.8305301583778095,1.1694698416221905,0.2957650623095418
