word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
anarchism,211,16,0.06101244521726194,3,0.12202489043452389
francesco,175,94,0.06099480756073775,3,0.1219896151214755
bogart,14,7,0.06099356143271188,3,0.12198712286542376
örenköy,5,5,0.060970724859145356,3,0.12194144971829071
crash,421,234,0.06094059166839766,3,0.12188118333679532
converted,812,488,0.06092841232688543,3,0.12185682465377086
emigrants,206,174,0.06091816860489344,3,0.12183633720978689
walton,82,48,0.060913848934682845,3,0.12182769786936569
antelope,42,16,0.06088258861554492,3,0.12176517723108984
litchfield,20,11,0.060866004321963055,3,0.12173200864392611
cushion,29,14,0.060854983556631714,3,0.12170996711326343
obispo,14,6,0.06079617124579344,3,0.12159234249158687
athanasius,224,20,0.06079372794553115,3,0.1215874558910623
smtp,8,7,0.06076878626000089,3,0.12153757252000177
cysts,29,12,0.0607681221902435,3,0.121536244380487
bantu,175,32,0.06076505188475946,3,0.12153010376951892
dawson,65,51,0.06075140997414347,3,0.12150281994828693
degree,1641,907,0.06073994947678098,3,0.12147989895356195
krauss,41,15,0.06072253081052059,3,0.12144506162104118
kwai,18,6,0.06069360545043192,3,0.12138721090086384
pulp,90,60,0.0606924448358515,3,0.121384889671703
slovenia,187,69,0.060683944770483625,3,0.12136788954096725
augustus,454,115,0.06066982469376767,3,0.12133964938753534
hosea,69,10,0.06065673825670761,3,0.12131347651341522
tucson,53,25,0.060629481108550196,3,0.12125896221710039
electro,89,60,0.06061173542982103,3,0.12122347085964207
passage,529,341,0.06060483990012104,3,0.12120967980024208
certificate,234,130,0.06058213654287128,3,0.12116427308574255
martyr,186,79,0.06056936410687288,3,0.12113872821374576
sampling,166,70,0.060532613886451744,3,0.12106522777290349
chipman,10,5,0.06052631661342267,3,0.12105263322684534
quadrant,76,24,0.06051317693743099,3,0.12102635387486198
amplitude,117,34,0.060511565097669064,3,0.12102313019533813
airfoil,45,9,0.06049720461440851,3,0.12099440922881702
message,667,305,0.060487716589926556,3,0.12097543317985311
dexter,74,31,0.060461598108949556,3,0.12092319621789911
rwanda,61,30,0.06045451535161981,3,0.12090903070323962
griffon,37,10,0.06045309198854652,3,0.12090618397709305
hydroelectric,87,56,0.060433031439199106,3,0.12086606287839821
concentration,704,321,0.06042537276509147,3,0.12085074553018293
mycenae,43,16,0.060416844666399794,3,0.12083368933279959
kurier,6,3,0.060388354105002984,3,0.12077670821000597
licorice,5,4,0.06038688222485204,3,0.12077376444970409
osiris,84,21,0.06036967526397298,3,0.12073935052794596
peirce,43,16,0.06036516035641833,3,0.12073032071283667
ichirō,4,3,0.060344384713259064,3,0.12068876942651813
gulliver,41,12,0.060326905482119664,3,0.12065381096423933
telecommunication,73,54,0.060297359981677304,3,0.12059471996335461
sophie,140,60,0.06028658565376884,3,0.12057317130753768
siegfried,36,25,0.0602649525943728,3,0.1205299051887456
berkowitz,13,3,0.06026138482367636,3,0.12052276964735271
dudley,90,57,0.060251305497855165,3,0.12050261099571033
isfahani,87,3,0.06023694221351742,3,0.12047388442703484
fraternities,54,12,0.0602178254786226,3,0.1204356509572452
inflammatory,124,52,0.060216269621272814,3,0.12043253924254563
cyberpunk,176,12,0.06020426151594619,3,0.12040852303189238
sulfur,255,69,0.0601767059923609,3,0.1203534119847218
bombala,7,3,0.06017261988881804,3,0.12034523977763607
mesopotamia,219,78,0.06015063890263215,3,0.1203012778052643
jahangir,29,16,0.0601314029073647,3,0.1202628058147294
semantics,130,43,0.06012451362701974,3,0.12024902725403948
collects,91,57,0.06011478288166303,3,0.12022956576332607
elizabeth,807,426,0.060113982064789684,3,0.12022796412957937
stonyhurst,7,3,0.06010916272446037,3,0.12021832544892073
goalkeeper,151,77,0.06010599596345667,3,0.12021199192691334
kurds,30,18,0.060069212462770735,3,0.12013842492554147
intercourse,148,34,0.060042019470240404,3,0.12008403894048081
juneau,52,9,0.06003788888715578,3,0.12007577777431155
cabarrus,9,3,0.06002869869886077,3,0.12005739739772155
fifteen,306,258,0.060028016883062515,3,0.12005603376612503
tournaments,257,128,0.06002445824203256,3,0.12004891648406513
aladdin,34,19,0.06001323438117416,3,0.12002646876234832
study,3203,1175,0.06000883126833882,3,0.12001766253667764
collectors,173,96,0.06000355489619098,3,0.12000710979238197
rutgers,51,26,0.05999566556612849,3,0.11999133113225698
southwark,31,22,0.05998462487902181,3,0.11996924975804361
capsule,93,44,0.05997327591590364,3,0.11994655183180727
jesuit,109,67,0.05997270733137251,3,0.11994541466274503
freedom,1169,533,0.05995874536104503,3,0.11991749072209006
peronist,8,3,0.05995474537890616,3,0.11990949075781232
australasian,42,21,0.05993039088898382,3,0.11986078177796763
bentley,148,32,0.05991101920362256,3,0.11982203840724512
birch,89,55,0.059902965684930275,3,0.11980593136986055
telegraphic,13,4,0.059896892671704394,3,0.11979378534340879
julio,72,44,0.05989164504941406,3,0.11978329009882813
seleucid,64,24,0.059890970347179905,3,0.11978194069435981
yamaha,20,14,0.05984750626298183,3,0.11969501252596366
republika,66,16,0.05982395560921504,3,0.11964791121843008
jonathan,413,264,0.059820906793952376,3,0.11964181358790475
xiii,146,83,0.05978265982067423,3,0.11956531964134846
neuron,98,22,0.05978028200891496,3,0.11956056401782993
attractions,274,201,0.05976538546573875,3,0.1195307709314775
chaplin,451,38,0.05975939111591986,3,0.11951878223183972
sufi,53,38,0.05974314559737942,3,0.11948629119475884
baryons,50,3,0.059717759301463696,3,0.11943551860292739
brahmins,50,15,0.05970540422618387,3,0.11941080845236773
rebab,5,3,0.05969354902806523,3,0.11938709805613046
diagrams,75,52,0.05965955657657237,3,0.11931911315314474
reputation,581,420,0.059654644646980795,3,0.11930928929396159
rothman,21,6,0.059652096512370356,3,0.11930419302474071
sahara,105,54,0.059625427967209085,3,0.11925085593441817
perthshire,20,10,0.05959823195088674,3,0.11919646390177348
appletalk,91,3,0.05958231617147696,3,0.11916463234295392
franck,25,21,0.05955468676771926,3,0.11910937353543852
mendoza,68,31,0.05954836955950502,3,0.11909673911901004
peripheral,153,94,0.05951027735182616,3,0.11902055470365232
slogan,121,85,0.05949988034727185,3,0.1189997606945437
demolished,253,173,0.0594964050785481,3,0.1189928101570962
catalina,30,22,0.05947695787055039,3,0.11895391574110079
specifications,179,115,0.05947326733390172,3,0.11894653466780344
suceava,16,7,0.059450704208776975,3,0.11890140841755395
weatherston,9,3,0.05943304949265404,3,0.11886609898530807
hunger,131,78,0.059419379474912194,3,0.11883875894982439
stefan,121,100,0.05937648463599217,3,0.11875296927198434
saarland,14,4,0.059367193421966925,3,0.11873438684393385
goulburn,16,12,0.05934318415574953,3,0.11868636831149906
cpc,141,9,0.059318422460793795,3,0.11863684492158759
turbid,5,4,0.05931823445760101,3,0.11863646891520202
sortable,27,17,0.05930587522551759,3,0.11861175045103518
capitals,183,99,0.05930300417002608,3,0.11860600834005217
serialized,29,18,0.059284570679470586,3,0.11856914135894117
gubernatorial,51,29,0.05928453913099133,3,0.11856907826198267
bikini,218,10,0.05928265124155233,3,0.11856530248310466
ericsson,34,15,0.059282348049092784,3,0.11856469609818557
solids,158,65,0.05928009616846408,3,0.11856019233692816
ferrara,22,18,0.059264266125342545,3,0.11852853225068509
sanam,27,4,0.05925527742032738,3,0.11851055484065476
ayahuasca,84,3,0.059250251075942305,3,0.11850050215188461
movements,693,352,0.059247331409923346,3,0.11849466281984669
scheme,474,306,0.05923601709914764,3,0.11847203419829529
archduke,68,26,0.05922270933220094,3,0.11844541866440188
squeeze,33,26,0.059197248878052534,3,0.11839449775610507
businesspeople,150,89,0.05919150362198509,3,0.11838300724397018
malatya,12,8,0.05918672574594175,3,0.1183734514918835
coahuila,9,5,0.059162342226758605,3,0.11832468445351721
comanche,10,8,0.059132789642437664,3,0.11826557928487533
abbreviated,198,162,0.05912198056153044,3,0.11824396112306088
chengdu,16,10,0.059114739369180026,3,0.11822947873836005
permanent,846,576,0.05906317709285358,3,0.11812635418570716
institut,104,53,0.059053288531840144,3,0.11810657706368029
handbag,4,3,0.059050684886289645,3,0.11810136977257929
nguyen,29,12,0.05903595117438258,3,0.11807190234876516
conservatory,84,43,0.05902519593749582,3,0.11805039187499164
flemish,171,58,0.05899696882192766,3,0.11799393764385532
polynesia,27,18,0.058974991836828326,3,0.11794998367365665
printing,407,208,0.05897455967602909,3,0.11794911935205818
researcher,165,127,0.058961663232276605,3,0.11792332646455321
cuarón,41,4,0.05896134745644189,3,0.11792269491288378
brampton,33,13,0.05893873731354993,3,0.11787747462709985
caribe,6,4,0.058926834415045315,3,0.11785366883009063
mancuso,4,3,0.0589261703468743,3,0.1178523406937486
credits,316,229,0.058880364506370665,3,0.11776072901274133
johan,109,73,0.05885796312998952,3,0.11771592625997904
reflections,120,83,0.0588569257236643,3,0.1177138514473286
arundel,26,13,0.05885417623316458,3,0.11770835246632916
federalist,37,19,0.05885165663950611,3,0.11770331327901222
diocesan,55,26,0.058824236118843985,3,0.11764847223768797
nikolaus,29,24,0.058801551132396455,3,0.11760310226479291
countach,8,7,0.058801326132554135,3,0.11760265226510827
archimedes,206,28,0.0587992081379719,3,0.1175984162759438
syracuse,119,59,0.05879544297812363,3,0.11759088595624725
boucher,22,15,0.058789254617225575,3,0.11757850923445115
lancashire,112,60,0.05878610190925855,3,0.1175722038185171
suggs,28,8,0.05877268217290364,3,0.11754536434580728
phillip,215,66,0.05877256748230293,3,0.11754513496460586
oblique,113,30,0.05871290849227515,3,0.1174258169845503
mitsubishi,61,20,0.05871228934448448,3,0.11742457868896897
porcupine,42,15,0.05869273028368192,3,0.11738546056736383
individuals,1372,600,0.05865169612250034,3,0.11730339224500068
griffith,140,49,0.058639281395995835,3,0.11727856279199167
arcturus,99,8,0.05863536286448793,3,0.11727072572897586
meteorite,46,29,0.05863325312782046,3,0.11726650625564092
chandler,99,64,0.05861937213772213,3,0.11723874427544426
pembina,8,4,0.05860003097906203,3,0.11720006195812406
jungle,122,82,0.05859888740514977,3,0.11719777481029954
julia,206,105,0.058587363325370866,3,0.11717472665074173
groves,84,50,0.05857758927426443,3,0.11715517854852886
transilien,38,4,0.05857564780402298,3,0.11715129560804596
diplomacy,165,87,0.058574821290284206,3,0.11714964258056841
tadcaster,5,3,0.05857220973385919,3,0.11714441946771838
inferior,195,128,0.05856255366383121,3,0.11712510732766242
salford,22,14,0.05855670148032645,3,0.1171134029606529
wyclef,33,3,0.058540181576627125,3,0.11708036315325425
mcleod,35,21,0.05851887340001669,3,0.11703774680003338
commissioners,123,72,0.0585146885056095,3,0.117029377011219
leconte,11,7,0.0584892423048341,3,0.1169784846096682
giacometti,93,7,0.058488713266172124,3,0.11697742653234425
lutheran,324,114,0.05847295987436942,3,0.11694591974873884
criminal,804,363,0.05845220995360214,3,0.11690441990720428
flea,61,25,0.05844730285878354,3,0.11689460571756707
passengers,525,213,0.05844287269812158,3,0.11688574539624316
graphite,148,37,0.05842444857175929,3,0.11684889714351858
morley,42,25,0.05840638230297723,3,0.11681276460595447
würzburg,39,18,0.058393524128235175,3,0.11678704825647035
ammannati,11,3,0.058377159464892615,3,0.11675431892978523
faroese,20,14,0.05834181741153595,3,0.1166836348230719
penser,6,5,0.05832119542768925,3,0.1166423908553785
jinghu,3,3,0.05830085425771705,3,0.1166017085154341
cinq,15,10,0.05829732137712752,3,0.11659464275425505
middleton,55,31,0.05826270851742578,3,0.11652541703485156
murder,980,377,0.058233859026513124,3,0.11646771805302625
amplifiers,58,20,0.058221939853677004,3,0.11644387970735401
material,1955,845,0.05820354923574585,3,0.1164070984714917
transliteration,53,32,0.05818398653518499,3,0.11636797307036997
absalon,61,5,0.058183904964233,3,0.116367809928466
clemson,25,10,0.05816615588113043,3,0.11633231176226086
oxidized,70,36,0.058105716813332764,3,0.11621143362666553
podiums,46,20,0.058069828619872345,3,0.11613965723974469
celsius,53,17,0.05806640186924522,3,0.11613280373849044
brompton,39,9,0.058064185482514,3,0.116128370965028
slavery,622,161,0.0580608810174412,3,0.1161217620348824
courts,844,287,0.058051144660076125,3,0.11610228932015225
brigadier,154,71,0.05804964386052993,3,0.11609928772105986
snk,136,24,0.05804850258390568,3,0.11609700516781137
tusculum,6,3,0.058014428660406424,3,0.11602885732081285
specific,2050,1049,0.057988098072973615,3,0.11597619614594723
voilà,3,3,0.057970928241656346,3,0.11594185648331269
lindy,14,10,0.05797074458904432,3,0.11594148917808864
mortenson,15,4,0.057958570550162784,3,0.11591714110032557
galleries,160,89,0.057955307248814016,3,0.11591061449762803
pomeranian,9,8,0.05794350053100803,3,0.11588700106201606
medrese,4,3,0.057921189795217064,3,0.11584237959043413
alexanders,9,3,0.05791612972427543,3,0.11583225944855086
sensor,86,42,0.05789237144875296,3,0.11578474289750593
dawg,8,4,0.05789031749434187,3,0.11578063498868374
baptism,545,61,0.057872539339006754,3,0.11574507867801351
covenant,220,65,0.05786872439966519,3,0.11573744879933039
dynamics,215,144,0.057856540345053754,3,0.11571308069010751
billie,98,28,0.05783824888326984,3,0.11567649776653968
mifflin,84,45,0.05783728912807366,3,0.11567457825614733
chicano,318,9,0.05782551171894199,3,0.11565102343788398
jaguars,46,24,0.05782548415829545,3,0.1156509683165909
surnamed,6,6,0.057805185300275376,3,0.11561037060055075
customers,351,177,0.05780337503789024,3,0.11560675007578047
lamellipodium,11,3,0.057766822168847355,3,0.11553364433769471
executed,601,320,0.05774684420450428,3,0.11549368840900856
descended,258,182,0.057740354662250026,3,0.11548070932450005
engraver,58,31,0.05771395439934431,3,0.11542790879868862
groin,25,22,0.057698706662108856,3,0.11539741332421771
smithville,28,5,0.05769335724415605,3,0.1153867144883121
lvr,3,3,0.057692161087269093,3,0.11538432217453819
achieved,941,652,0.05767420464963855,3,0.1153484092992771
eczema,11,4,0.0576666146658948,3,0.1153332293317896
blondie,18,11,0.05766392488322027,3,0.11532784976644055
alanköy,3,3,0.05766132437085084,3,0.11532264874170169
pornography,110,32,0.057657172966488,3,0.115314345932976
bartók,143,11,0.05765307750683461,3,0.11530615501366923
gayle,21,14,0.057644711735562924,3,0.11528942347112585
calhoun,39,19,0.05763048052201423,3,0.11526096104402846
dioxide,414,117,0.0576009791711665,3,0.115201958342333
quran,126,48,0.05759620515289878,3,0.11519241030579756
ferdinand,238,144,0.05759394659561072,3,0.11518789319122144
pinyin,29,18,0.057593106466681296,3,0.11518621293336259
cristina,24,21,0.05759204452821134,3,0.11518408905642268
winkler,9,6,0.05758551412496652,3,0.11517102824993304
vellalar,37,3,0.057574520505445224,3,0.11514904101089045
recognized,1038,709,0.05754128224852003,3,0.11508256449704006
maxwell,144,90,0.05752735527158668,3,0.11505471054317336
sangeet,12,5,0.057520878486376034,3,0.11504175697275207
gmbh,55,31,0.05751543292809458,3,0.11503086585618916
diamondbacks,131,20,0.05749386740144422,3,0.11498773480288844
dopamine,199,26,0.05745366221593797,3,0.11490732443187594
battler,19,9,0.057449716536205106,3,0.11489943307241021
accountant,56,41,0.057430838645468094,3,0.11486167729093619
captain,1266,570,0.0574306193203197,3,0.1148612386406394
agassiz,53,6,0.057421833211901675,3,0.11484366642380335
consecutive,570,322,0.057409276658983224,3,0.11481855331796645
ambrosia,48,12,0.05739381517651555,3,0.1147876303530311
locally,418,288,0.05739039483391341,3,0.11478078966782682
sharpe,33,19,0.05738651849212102,3,0.11477303698424204
jimmy,399,247,0.05738617869963871,3,0.11477235739927742
cordata,8,6,0.057365296682400646,3,0.11473059336480129
launcher,126,34,0.057360285202947045,3,0.11472057040589409
yukio,4,3,0.05736014846137161,3,0.11472029692274321
harriet,72,40,0.057312862029493594,3,0.11462572405898719
thierack,14,3,0.057292351594535135,3,0.11458470318907027
bmd,14,7,0.05728537760266681,3,0.11457075520533362
