word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
asynchronous,46,23,0.053329418889070924,4,0.15998825666721278
bloodroot,8,4,0.053323741385518625,4,0.15997122415655587
cuanavale,60,7,0.05324267952944556,4,0.15972803858833667
kyrgyzstan,85,34,0.05319854312262322,4,0.15959562936786964
pilkington,27,10,0.05317384162545371,4,0.15952152487636112
çağlayan,4,4,0.053068890509412325,4,0.15920667152823698
sébastien,29,21,0.05306063105154106,4,0.15918189315462317
kowalski,29,11,0.053042458687692494,4,0.15912737606307747
rheumatoid,36,8,0.03970676301284252,5,0.15882705205137007
expatriated,7,7,0.05292143739109869,4,0.15876431217329606
antiderivative,36,4,0.052914273520218914,4,0.15874282056065675
behavioral,223,81,0.039657785310405265,5,0.15863114124162106
goalscorers,28,25,0.05286408210659164,4,0.15859224631977492
surprisingly,84,75,0.052857567049117885,4,0.15857270114735367
annexed,169,115,0.0528107573768975,4,0.1584322721306925
surrounding,967,667,0.05277733366421107,4,0.15833200099263323
pernambuco,9,4,0.03954861975000662,5,0.15819447900002648
schiavone,6,3,0.05268007356449624,4,0.15804022069348872
remonstrance,17,3,0.052600818034169154,4,0.15780245410250746
hypochlorous,13,5,0.039433630739539705,5,0.15773452295815882
hymiskviða,5,3,0.03152910065398916,6,0.1576455032699458
marysville,16,3,0.052533522322117165,4,0.1576005669663515
neurotransmitters,46,16,0.03938800095847196,5,0.15755200383388784
mizutani,23,3,0.05250446674740852,4,0.15751340024222554
shabbos,11,3,0.05246300412730326,4,0.15738901238190978
fairfax,40,25,0.05245053569250676,4,0.15735160707752027
surfers,18,12,0.05240973156257591,4,0.15722919468772772
thermodynamics,76,28,0.0523605072057229,4,0.1570815216171687
survivors,186,116,0.039255591204152396,5,0.15702236481660958
balsfjord,6,4,0.0522173850380421,4,0.1566521551141263
nitriles,22,8,0.05204422746277014,4,0.1561326823883104
kidnapping,134,62,0.05201216929594812,4,0.15603650788784434
diabolical,5,4,0.051989344560101416,4,0.15596803368030426
zemlya,5,3,0.051985960061310364,4,0.15595788018393109
labyrinthine,6,4,0.038987674227278765,5,0.15595069690911506
discusses,132,96,0.05193648535937141,4,0.15580945607811425
goiânia,34,21,0.05178098057515381,4,0.15534294172546143
privilege,91,69,0.05176889565326309,4,0.15530668695978928
chromosomes,72,30,0.05176435675123294,4,0.15529307025369882
abiathar,28,7,0.051734594133312925,4,0.15520378239993876
orchestras,111,45,0.05173035207670766,4,0.15519105623012297
zakopane,5,3,0.05172893598642286,4,0.15518680795926856
surfaces,304,180,0.05172306887518492,4,0.15516920662555478
toothpaste,26,8,0.051713831315919626,4,0.1551414939477589
streptococcus,15,10,0.03876695363453345,5,0.1550678145381338
hackensack,13,9,0.05163632267725469,4,0.15490896803176407
demirciler,4,4,0.05159825985747678,4,0.15479477957243032
protestant,608,241,0.051555052064326125,4,0.15466515619297838
barneveld,18,3,0.05153232331462731,4,0.15459696994388192
marmorata,3,3,0.051511915815933985,4,0.15453574744780196
touchdowns,135,36,0.051505116067920007,4,0.15451534820376
mudskippers,21,3,0.05150175587855812,4,0.15450526763567435
difranco,82,4,0.05147666524422359,4,0.15442999573267077
dufrêne,6,3,0.05142952652824332,4,0.15428857958472997
cognizant,8,4,0.05142660509441343,4,0.15427981528324028
castellammare,4,3,0.05140358109049956,4,0.1542107432714987
beauport,3,3,0.05139445181810862,4,0.15418335545432588
chaudhary,10,6,0.051373460342771196,4,0.1541203810283136
birgitte,5,3,0.05131481417956061,4,0.15394444253868184
microstructure,19,13,0.05123527097893209,4,0.15370581293679625
alectryon,7,3,0.051135674860551227,4,0.15340702458165367
chukotka,6,3,0.05112466552075306,4,0.15337399656225917
schwenk,3,3,0.05111674311344741,4,0.15335022934034223
hydrocarbons,99,27,0.051110448442892656,4,0.15333134532867798
supernatural,166,102,0.0510874718202912,4,0.1532624154608736
refuges,33,21,0.051050232396738116,4,0.15315069719021435
menopausal,6,3,0.050987521984800284,4,0.15296256595440086
maelstrom,4,3,0.050979897000555406,4,0.1529396910016662
leicestershire,34,19,0.05092521513513746,4,0.15277564540541239
lawrencetown,9,4,0.038188356719972824,5,0.1527534268798913
rsssf,8,6,0.05087812261835774,4,0.15263436785507323
bluegill,4,3,0.050710066039699964,4,0.1521301981190999
thrasybulus,11,5,0.0379973415733351,5,0.1519893662933404
souvenirs,27,24,0.05063362231989971,4,0.15190086695969912
södermanland,4,3,0.03797492071425865,5,0.1518996828570346
édouard,36,28,0.050505026760277405,4,0.15151508028083222
bunnies,24,4,0.05044632596234212,4,0.15133897788702638
järryd,4,4,0.05044540169118739,4,0.15133620507356219
mccartney,61,25,0.050423737621566954,4,0.15127121286470085
discrimination,285,136,0.05033204829911668,4,0.15099614489735003
mcmurtry,13,6,0.03774179828290809,5,0.15096719313163237
bildungsroman,18,4,0.03016478844468075,6,0.15082394222340373
mephistopheles,8,4,0.030159722281092895,6,0.15079861140546447
mcfadden,14,11,0.05021996698943918,4,0.15065990096831755
multiplayer,113,64,0.0501212359758443,4,0.1503637079275329
tallapoosa,13,5,0.037500913414386175,5,0.1500036536575447
šmíd,3,3,0.049954195686427116,4,0.14986258705928135
mckeown,49,8,0.04991319371877233,4,0.14973958115631697
administrated,3,3,0.04986879928898718,4,0.14960639786696153
