word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
phosphatidylserine,31,3,0.11001637657167779,7,0.6600982594300667
balıkesir,50,18,0.21958198911099686,4,0.6587459673329905
bundesrat,12,7,0.21673071469231803,4,0.650192144076954
broadcasting,806,307,0.21593906747921263,4,0.6478172024376379
laurentides,4,3,0.16024370809664656,5,0.6409748323865863
jönsson,5,3,0.21313924154379782,4,0.6394177246313935
shoalhaven,6,3,0.15714830899396384,5,0.6285932359758554
drummoyne,13,3,0.20932380642284434,4,0.6279714192685331
tägtgren,14,4,0.15664012423650597,5,0.6265604969460239
çiftlikköy,7,5,0.20658302694273772,4,0.6197490808282131
pyrénées,19,7,0.2052429940341706,4,0.6157289821025118
havlíčkův,3,3,0.07692107019926248,9,0.6153685615940998
eskişehir,21,7,0.15372149890323666,5,0.6148859956129467
tokushima,4,3,0.2049451192712927,4,0.6148353578138781
łódź,22,9,0.15254211589677832,5,0.6101684635871133
supernova,61,27,0.20025258128069096,4,0.6007577438420728
administrative,1016,493,0.19975359968491394,4,0.5992607990547418
veracruz,34,27,0.19960854886974574,4,0.5988256466092372
douglas,666,324,0.19847560685705284,4,0.5954268205711586
tâtons,8,3,0.198103588288817,4,0.594310764866451
bundesautobahn,16,4,0.11863072741892476,6,0.5931536370946238
tributary,155,115,0.19733407984144055,4,0.5920022395243216
wapentake,23,7,0.19731525340180175,4,0.5919457602054052
locomotives,177,52,0.1957623117528359,4,0.5872869352585077
brunei,400,41,0.19496267330101844,4,0.5848880199030553
kastamonu,11,7,0.19350469979289625,4,0.5805140993786888
connexion,3,3,0.19335506073208708,4,0.5800651821962612
constituency,398,176,0.19115060545377452,4,0.5734518163613236
gymnasts,34,6,0.1904089622858903,4,0.5712268868576709
yeşilova,9,7,0.1872323714640107,4,0.5616971143920321
karimganj,9,3,0.18694227262287988,4,0.5608268178686396
ahenobarbus,11,4,0.18672637829487385,4,0.5601791348846216
wollongong,30,8,0.18633247153065008,4,0.5589974145919503
clavulanate,10,3,0.13864058869494233,5,0.5545623547797693
indiscernibles,11,3,0.18388700352033405,4,0.5516610105610021
kaliningrad,38,16,0.18355687173058538,4,0.5506706151917562
jacquard,19,8,0.18234757993535383,4,0.5470427398060616
kütahya,15,10,0.13675037369422113,5,0.5470014947768845
capricorn,54,14,0.17979068857581443,4,0.5393720657274432
nilpotent,20,4,0.1772677439851779,4,0.5318032319555337
dâmbovița,8,3,0.08740015740604919,7,0.5244009444362951
wahidiyya,19,3,0.13089045682703784,5,0.5235618273081514
sabancı,27,5,0.1740711323842579,4,0.5222133971527737
muhammad,828,183,0.17390972676074212,4,0.5217291802822264
nannophrys,8,3,0.1725889996546597,4,0.5177669989639792
appomattox,40,10,0.17241235002377264,4,0.5172370500713179
pennsylvania,907,333,0.17237735993556907,4,0.5171320798067072
michoacán,5,5,0.1719184624834258,4,0.5157553874502774
gimhae,5,3,0.17103332946124347,4,0.5130999883837304
kemalpaşa,4,4,0.10104958630858725,6,0.5052479315429362
universiade,58,23,0.16646861012888756,4,0.49940583038666264
clavicula,5,3,0.16641258964755587,4,0.4992377689426676
frazione,4,3,0.16558058956569563,4,0.49674176869708686
kahramanmaraş,5,3,0.09916803899460323,6,0.4958401949730162
yeşilyurt,10,8,0.16486157472043977,4,0.4945847241613193
hemnesberget,4,3,0.1625053504503227,4,0.4875160513509681
córdoba,161,44,0.1623095086548662,4,0.4869285259645986
hypobromous,12,3,0.1215577669097806,5,0.4862310676391224
pokémon,27,12,0.16136491224572452,4,0.48409473673717357
azurduy,41,4,0.16008954160855043,4,0.4802686248256513
kuressaare,4,3,0.1200647607177115,5,0.480259042870846
nhị,12,3,0.11946850499783924,5,0.477874019991357
kilbride,12,3,0.1582077733478711,4,0.4746233200436133
chhattisgarh,15,6,0.09465151020858359,6,0.47325755104291795
zacatecas,7,5,0.11708971382024366,5,0.46835885528097465
committee,1741,721,0.15609655959012486,4,0.4682896787703746
stephens,75,48,0.1557826025989723,4,0.4673478077969169
aeshnidae,6,3,0.15551134923178642,4,0.4665340476953592
nizhny,21,10,0.15420202276413802,4,0.4626060682924141
olomouc,15,9,0.1541049385902979,4,0.4623148157708937
tuscumbia,5,3,0.1540904327572186,4,0.4622712982716558
zabaykalsky,7,4,0.09016917186852634,6,0.4508458593426317
bharatiya,39,18,0.14973712675159495,4,0.44921138025478485
campbelltown,11,7,0.14961288432883485,4,0.44883865298650455
hochsauerlandkreis,8,8,0.06398834770865205,8,0.4479184339605644
cumhuriyet,29,24,0.11186539310104475,5,0.447461572404179
bozdoğan,9,3,0.11032543918738598,5,0.4413017567495439
bhutan,51,24,0.14608818792680797,4,0.4382645637804239
asistencia,5,3,0.14530796756572958,4,0.4359239026971887
bundaberg,57,5,0.1449915706682227,4,0.43497471200466814
tamaulipas,12,8,0.10855625610222822,5,0.43422502440891286
shanghai,144,76,0.14441855271635196,4,0.43325565814905587
telenovela,31,9,0.14425070256097702,4,0.43275210768293104
toccoa,5,3,0.14417557868385103,4,0.4325267360515531
protectorate,152,64,0.1440052081628787,4,0.4320156244886361
novgorod,36,22,0.1428679897837935,4,0.4286039693513805
lemminkäinen,17,3,0.0853033469567233,6,0.4265167347836165
murrumbidgee,16,5,0.0850738268015124,6,0.42536913400756204
wapentakes,14,7,0.14157960927643626,4,0.4247388278293088
sverdlovsk,18,7,0.10612685383546186,5,0.42450741534184744
söğütçük,3,3,0.07049863786400402,7,0.42299182718402417
periódico,4,3,0.10536110952069656,5,0.42144443808278625
refractometer,44,7,0.14031498643836546,4,0.42094495931509635
güneşli,4,3,0.10455581157480964,5,0.41822324629923857
vysočina,6,4,0.13933418808289497,4,0.41800256424868487
ecuadorian,42,28,0.13907784245084814,4,0.41723352735254443
knockout,87,43,0.13895561089904676,4,0.4168668326971403
neuropeptide,4,3,0.13882115448031787,4,0.41646346344095364
vaucluse,10,4,0.13857342867651795,4,0.41572028602955385
cemetery,528,312,0.137847347779738,4,0.413542043339214
hokkaido,95,19,0.13700657951984935,4,0.41101973855954804
shambhala,17,5,0.10246415117082411,5,0.40985660468329643
mohammad,148,75,0.1363619787100009,4,0.40908593613000266
kabataş,10,4,0.13574134636778773,4,0.4072240391033632
neighbourhood,122,84,0.13572024372801947,4,0.4071607311840584
sanguinarine,23,4,0.1356002985846913,4,0.4068008957540739
boztepe,5,3,0.13511472341368125,4,0.40534417024104374
heilbronn,20,4,0.10122579213114773,5,0.4049031685245909
philharmonic,185,44,0.13372314505039448,4,0.4011694351511834
grímnismál,17,7,0.08022133441386599,6,0.40110667206932993
narayanganj,10,6,0.10014797096191799,5,0.40059188384767197
wiedenbrück,37,3,0.13270234535721892,4,0.39810703607165676
chrysostom,38,16,0.1325844164659476,4,0.3977532493978428
dodurga,10,3,0.13220561447138304,4,0.39661684341414916
salvadoran,43,16,0.13177719422701725,4,0.39533158268105173
macfarlane,36,15,0.09876348333042292,5,0.3950539333216917
hokkaidō,25,10,0.13157136820852808,4,0.3947141046255842
chevrolet,60,24,0.13146354626192586,4,0.39439063878577757
yozgat,7,5,0.1296203003044841,4,0.38886090091345227
gildemeister,7,3,0.1294015765335341,4,0.38820472960060226
itumbiara,9,3,0.12936685953614577,4,0.3881005786084373
gümüşlü,4,3,0.06418443734529464,7,0.3851066240717678
speedskatingstats,11,6,0.0640932731733336,7,0.3845596390400016
yukarı,10,9,0.1279005768705312,4,0.38370173061159357
shambala,12,3,0.12774187002980134,4,0.38322561008940403
jacqueline,55,38,0.12764671053387772,4,0.38294013160163315
